iter	RMSE
0	16435.20254
1	16425.47754
2	16415.6455
3	16405.87226
4	16381.85791
5	16367.36371
6	16359.02426
7	16343.69406
8	16338.03709
9	16329.58315
10	16316.04383
11	16295.90995
12	16287.44424
13	16279.97748
14	16271.01049
15	16260.78035
16	16248.92323
17	16238.05208
18	16229.20313
19	16221.07186
20	16207.19915
21	16198.79401
22	16180.78565
23	16171.04336
24	16164.66649
25	16152.7015
26	16141.95037
27	16132.81276
28	16124.62759
29	16111.87763
30	16103.78926
31	16091.72569
32	16085.44009
33	16072.81754
34	16060.57625
35	16054.94879
36	16041.91107
37	16039.0797
38	16031.18577
39	16016.53036
40	16009.47725
41	16000.32684
42	15993.02807
43	15983.78185
44	15972.69506
45	15966.47871
46	15956.83109
47	15947.09017
48	15940.5832
49	15933.04388
50	15925.51294
51	15912.44529
52	15895.52772
53	15888.42162
54	15878.0489
55	15870.67002
56	15858.15375
57	15845.74315
58	15839.09703
59	15833.62831
60	15820.62269
61	15808.24354
62	15798.33748
63	15789.19103
64	15770.08601
65	15763.40787
66	15750.89171
67	15739.74002
68	15718.40621
69	15695.6489
70	15684.71787
71	15680.70545
72	15675.18346
73	15664.17185
74	15657.80263
75	15647.21648
76	15634.59422
77	15624.41719
78	15608.81179
79	15599.64607
80	15591.06304
81	15583.1547
82	15575.01186
83	15566.66068
84	15559.55012
85	15550.36977
86	15536.78833
87	15525.38326
88	15513.36201
89	15502.40133
90	15494.85317
91	15482.95935
92	15471.39816
93	15460.72434
94	15449.37223
95	15442.78172
96	15434.11859
97	15425.64603
98	15414.24953
99	15404.77826
100	15395.43693
101	15383.93605
102	15373.72503
103	15361.62878
104	15350.48373
105	15342.80018
106	15330.53451
107	15324.81321
108	15322.18494
109	15311.55998
110	15302.34134
111	15291.66191
112	15281.64835
113	15272.34678
114	15264.66157
115	15244.14281
116	15230.83368
117	15223.16556
118	15212.20663
119	15202.03584
120	15190.50062
121	15181.75341
122	15169.89456
123	15160.86516
124	15149.51684
125	15142.7152
126	15130.98272
127	15120.42335
128	15106.73256
129	15098.13611
130	15089.1491
131	15075.0394
132	15065.53709
133	15051.28973
134	15041.97542
135	15034.05684
136	15026.03565
137	15013.49519
138	15002.58179
139	14995.96408
140	14985.29839
141	14976.04302
142	14967.64808
143	14959.91302
144	14949.90004
145	14943.28049
146	14930.03534
147	14918.38655
148	14911.17087
149	14900.52649
150	14894.02711
151	14886.84498
152	14879.18268
153	14872.94457
154	14866.03086
155	14860.31974
156	14852.56496
157	14846.06053
158	14839.86051
159	14833.43882
160	14825.94688
161	14819.47768
162	14813.08446
163	14806.70054
164	14799.81356
165	14792.94474
166	14786.52357
167	14780.17803
168	14772.69933
169	14766.37377
170	14760.05739
171	14753.68361
172	14747.38537
173	14741.09625
174	14734.81626
175	14721.7389
176	14715.47745
177	14709.22507
178	14702.9153
179	14696.68083
180	14684.91436
181	14678.69737
182	14672.48938
183	14666.29036
184	14660.1003
185	14653.91918
186	14647.74699
187	14641.5837
188	14635.42931
189	14629.2838
190	14623.14716
191	14617.01936
192	14610.90039
193	14604.79024
194	14598.6889
195	14592.59633
196	14586.51254
197	14580.4375
198	14574.37121
199	14568.31363
200	14562.26477
201	14556.2246
202	14550.19311
203	14544.17029
204	14538.15611
205	14532.15056
206	14526.15364
207	14520.16531
208	14514.18558
209	14508.21442
210	14502.25181
211	14496.29775
212	14490.35222
213	14484.4152
214	14478.48669
215	14472.56665
216	14466.65509
217	14460.75198
218	14454.85731
219	14448.97106
220	14443.09323
221	14437.22379
222	14431.36274
223	14425.51005
224	14419.66571
225	14413.82971
226	14408.00204
227	14402.18268
228	14396.37161
229	14390.56882
230	14384.77429
231	14378.98802
232	14373.20999
233	14367.44018
234	14361.67858
235	14355.92518
236	14350.17995
237	14344.4429
238	14338.71399
239	14332.99323
240	14327.28059
241	14321.57606
242	14315.87963
243	14310.19128
244	14304.511
245	14298.83878
246	14293.17459
247	14287.51844
248	14281.8703
249	14276.23016
250	14270.598
251	14264.97382
252	14259.35759
253	14253.74932
254	14248.14897
255	14242.55654
256	14236.97202
257	14231.39539
258	14225.82663
259	14220.26574
260	14214.7127
261	14209.1675
262	14203.63012
263	14198.10055
264	14192.57878
265	14187.0648
266	14181.55858
267	14176.06012
268	14170.56941
269	14165.08642
270	14159.61116
271	14154.1436
272	14148.68373
273	14143.23154
274	14137.78701
275	14132.35014
276	14126.92091
277	14121.4993
278	14116.08531
279	14110.67891
280	14105.28011
281	14099.88888
282	14094.50521
283	14089.12909
284	14083.76051
285	14078.39945
286	14073.0459
287	14067.69985
288	14062.36128
289	14057.03019
290	14051.70656
291	14046.39037
292	14041.08162
293	14035.78029
294	14030.48637
295	14025.19985
296	14019.92072
297	14014.64895
298	14009.38455
299	14004.12749
300	13998.87777
301	13993.63537
302	13988.40028
303	13983.17249
304	13977.95199
305	13972.73876
306	13967.53279
307	13962.33407
308	13957.14258
309	13951.95833
310	13946.78128
311	13941.61143
312	13936.44877
313	13931.29329
314	13926.14498
315	13921.00381
316	13915.86979
317	13910.74289
318	13905.62311
319	13900.51043
320	13895.40485
321	13890.30634
322	13885.21491
323	13880.13053
324	13875.0532
325	13869.9829
326	13864.91962
327	13859.86335
328	13854.81408
329	13849.7718
330	13844.73649
331	13839.70814
332	13834.68675
333	13829.67229
334	13824.66477
335	13819.66416
336	13814.67045
337	13809.68364
338	13804.70371
339	13799.73065
340	13794.76445
341	13789.8051
342	13784.85258
343	13779.90689
344	13774.96802
345	13770.03594
346	13765.11066
347	13760.19216
348	13755.28042
349	13750.37544
350	13745.47721
351	13740.58572
352	13735.70094
353	13730.82288
354	13725.95152
355	13721.08685
356	13716.22886
357	13711.37754
358	13706.53288
