iter	Passed	Remaining
0	0	719
1	3	1263
2	5	1584
3	6	1391
4	7	1172
5	7	1043
6	8	910
7	10	1049
8	11	1049
9	12	961
10	12	882
11	13	892
12	16	1020
13	19	1087
14	20	1095
15	22	1103
16	23	1087
17	25	1125
18	28	1159
19	31	1213
20	31	1183
21	33	1195
22	35	1205
23	38	1247
24	41	1277
25	44	1309
26	46	1323
27	47	1301
28	49	1321
29	50	1285
30	51	1286
31	52	1261
32	53	1249
33	55	1241
34	55	1219
35	57	1215
36	58	1197
37	59	1187
38	61	1207
39	62	1192
40	65	1205
41	65	1185
42	66	1176
43	68	1178
44	70	1182
45	73	1199
46	74	1193
47	77	1213
48	78	1208
49	81	1226
50	84	1238
51	85	1228
52	87	1227
53	89	1242
54	92	1247
55	93	1238
56	95	1243
57	95	1227
58	98	1233
59	100	1234
60	101	1226
61	102	1222
62	103	1213
63	104	1199
64	105	1191
65	107	1195
66	108	1190
67	109	1180
68	110	1168
69	110	1152
70	110	1139
71	111	1125
72	113	1133
73	114	1126
74	116	1122
75	116	1107
76	116	1097
77	118	1092
78	118	1082
79	119	1078
80	122	1089
81	124	1094
82	126	1090
83	128	1095
84	129	1090
85	132	1101
86	133	1095
87	134	1089
88	138	1103
89	139	1103
90	140	1094
91	143	1103
92	144	1096
93	144	1087
94	147	1093
95	150	1101
96	152	1107
97	155	1114
98	157	1114
99	158	1110
100	159	1105
101	162	1114
102	164	1110
103	164	1101
104	166	1104
105	168	1104
106	169	1100
107	173	1110
108	174	1106
109	177	1116
110	180	1119
111	183	1128
112	184	1120
113	186	1121
114	188	1125
115	189	1117
116	191	1116
117	192	1113
118	195	1120
119	196	1115
120	198	1111
121	200	1115
122	202	1114
123	205	1120
124	208	1123
125	211	1129
126	212	1123
127	213	1118
128	215	1122
129	218	1124
130	221	1129
131	223	1130
132	224	1126
133	226	1125
134	229	1130
135	231	1129
136	234	1133
137	236	1132
138	237	1127
139	239	1129
140	242	1134
141	246	1140
142	249	1146
143	250	1141
144	251	1137
145	254	1139
146	258	1146
147	260	1147
148	262	1148
149	265	1152
150	269	1156
151	272	1160
152	274	1159
153	277	1162
154	280	1166
155	283	1171
156	285	1168
157	288	1171
158	291	1175
159	294	1177
160	297	1182
161	300	1182
162	303	1184
163	305	1186
164	308	1186
165	311	1188
166	313	1188
167	316	1189
168	317	1186
169	320	1187
170	323	1188
171	325	1188
172	328	1191
173	331	1192
174	334	1194
175	336	1194
176	338	1192
177	341	1193
178	344	1194
179	347	1197
180	349	1196
181	352	1197
182	355	1198
183	358	1198
184	360	1199
185	362	1196
186	364	1195
187	367	1196
188	370	1196
189	373	1199
190	376	1201
191	379	1202
192	382	1204
193	385	1204
194	389	1207
195	391	1207
196	395	1209
197	398	1210
198	400	1210
199	403	1210
200	405	1209
201	408	1208
202	410	1208
203	414	1210
204	417	1212
205	420	1212
206	423	1212
207	425	1212
208	428	1211
209	431	1213
210	434	1211
211	437	1212
212	439	1210
213	442	1210
214	445	1210
215	448	1211
216	451	1211
217	454	1212
218	456	1212
219	459	1211
220	462	1211
221	465	1211
222	467	1209
223	470	1210
224	473	1209
225	475	1208
226	478	1207
227	480	1205
228	483	1206
229	486	1205
230	488	1204
231	491	1202
232	493	1201
233	496	1199
234	498	1197
235	500	1195
236	502	1193
237	505	1193
238	507	1191
239	509	1188
240	511	1186
241	514	1185
242	516	1182
243	518	1181
244	520	1179
245	523	1178
246	525	1175
247	527	1174
248	529	1171
249	532	1171
250	534	1168
251	536	1166
252	539	1165
253	541	1164
254	544	1162
255	546	1160
256	548	1159
257	550	1156
258	552	1154
259	555	1152
260	557	1150
261	559	1148
262	561	1145
263	563	1144
264	565	1142
265	568	1141
266	571	1139
267	574	1140
268	576	1137
269	579	1136
270	581	1135
271	584	1134
272	586	1132
273	588	1130
274	591	1129
275	594	1128
276	597	1127
277	599	1125
278	601	1123
279	603	1121
280	606	1119
281	608	1117
282	610	1115
283	612	1113
284	614	1110
285	617	1110
286	620	1108
287	622	1106
288	624	1103
289	627	1103
290	629	1101
291	633	1101
292	635	1098
293	637	1096
294	639	1094
295	642	1094
296	645	1092
297	648	1091
298	650	1089
299	652	1087
300	654	1084
301	657	1083
302	659	1082
303	661	1079
304	664	1078
305	666	1075
306	668	1073
307	670	1071
308	673	1069
309	675	1067
310	677	1065
311	679	1063
312	681	1060
313	683	1058
314	685	1056
315	688	1054
316	690	1052
317	693	1050
318	696	1050
319	698	1047
320	701	1046
321	703	1043
322	704	1040
323	707	1038
324	709	1036
325	712	1036
326	714	1033
327	716	1031
328	719	1029
329	721	1027
330	723	1024
331	725	1023
332	728	1021
333	730	1019
334	733	1018
335	735	1016
336	738	1014
337	740	1011
338	742	1010
339	744	1007
340	747	1005
341	749	1003
342	751	1001
343	754	999
344	756	997
345	758	994
346	760	992
347	763	991
348	766	990
349	769	989
350	771	986
351	773	984
352	775	982
353	777	979
354	779	976
355	781	974
356	783	972
357	786	970
358	788	968
