system:index,capacity_mw,commissioning_year,country,country_long,estimated_generation_gwh,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,geolocation_source,gppd_idnr,name,other_fuel1,other_fuel2,other_fuel3,owner,primary_fuel,source,url,wepp_id,year_of_capacity_data,.geo
0000000000000000315a,15,1942,USA,United States of America,685.3977118377676,0,0,0,0,0,WRI,WRI1026827,Dos Bocas,,,,PREPA,Hydro,CEPR,http://energia.pr.gov/datos/plantas/,30936,0,"{""type"":""Point"",""coordinates"":[-66.6662986370627,18.33589933648736]}"
000000000000000026e5,1492,1975,USA,United States of America,8334.010811804319,0,0,0,0,0,WRI,WRI1026809,Aguirre,,,,PREPA,Oil,PREPA,http://www.prepa.com/aguirre.asp,30928,0,"{""type"":""Point"",""coordinates"":[-66.23079607357684,17.951899390168816]}"
00000000000000002fda,990,1962,USA,United States of America,5529.940149923777,0,0,0,0,0,WRI,WRI1026811,Costa Sur,,,,PREPA,Oil,PREPA,http://www.prepa.com/costasur.asp,30934,0,"{""type"":""Point"",""coordinates"":[-66.75340271704073,18.000298473002918]}"
00000000000000003f76,602,1960,USA,United States of America,3362.6504750041554,0,0,0,0,0,WRI,WRI1026814,Palo Seco,,,,PREPA,Oil,PREPA,http://www.prepa.com/PALOSECO.ASP,30942,0,"{""type"":""Point"",""coordinates"":[-66.14859700475763,18.455300685395482]}"
00000000000000002def,10,1915,USA,United States of America,456.931807891845,0,0,0,0,0,WRI,WRI1026821,Carite 1,,,,PREPA,Hydro,PREPA,http://www.prepa.com/historia_eng.asp  https://mapcarta.com/21472530,65289,0,"{""type"":""Point"",""coordinates"":[-66.10600367149512,18.044702201293134]}"
00000000000000004727,8.640000343322754,1929,USA,United States of America,394.78908201855415,0,0,0,0,0,WRI,WRI1026823,Toro Negro 1,,,,PREPA,Hydro,PREPA,http://www.prepa.com/historia_eng.asp,30950,0,"{""type"":""Point"",""coordinates"":[-66.48789892211643,18.13180182217009]}"
0000000000000000342e,7.199999809265137,1941,USA,United States of America,328.9909016821284,0,0,0,0,0,WRI,WRI1026825,Garzas 1,,,,PREPA,Hydro,PREPA; CEPR,http://www.prepa.com/historia_eng.asp; http://energia.pr.gov/datos/plantas/,30938,0,"{""type"":""Point"",""coordinates"":[-66.73459422879728,18.094100122763205]}"
0000000000000000342f,5.039999961853027,1941,USA,United States of America,230.29363117748989,0,0,0,0,0,WRI,WRI1026826,Garzas 2,,,,PREPA,Hydro,PREPA; CEPR,http://www.prepa.com/historia_eng.asp; http://energia.pr.gov/datos/plantas/,49078,0,"{""type"":""Point"",""coordinates"":[-66.7305007740302,18.07270089680772]}"
00000000000000004728,1.9199999570846558,1937,USA,United States of America,87.73090711523423,0,0,0,0,0,WRI,WRI1026824,Toro Negro 2,,,,PREPA,Hydro,PREPA; CEPR,http://www.prepa.com/historia_eng.asp; http://energia.pr.gov/datos/plantas/,30949,0,"{""type"":""Point"",""coordinates"":[-66.51159458511445,18.166399987243775]}"
00000000000000004339,27,0,USA,United States of America,12.040047035167003,0,0,0,0,0,WRI,WRI1028017,San Fermin Solar Farm,,,,,Solar,TSK,http://www.grupotsk.com/proyectos/puerto-rico,66179,0,"{""type"":""Point"",""coordinates"":[-65.90769852944625,18.405501444830595]}"
000000000000000026e4,42,0,USA,United States of America,295.9097059365489,0,0,0,0,0,WRI,WRI1028012,Aguirre,,,,,Gas,CEPR,http://energia.pr.gov/datos/plantas/,,0,"{""type"":""Point"",""coordinates"":[-66.2312018517727,17.953299547899597]}"
00000000000000002871,42,0,USA,United States of America,295.9097059365489,0,0,0,0,0,WRI,WRI1028014,Yabucoa,,,,,Gas,CEPR,http://energia.pr.gov/datos/plantas/,30951,0,"{""type"":""Point"",""coordinates"":[-65.82489748198483,18.106398323468607]}"
00000000000000002fd9,42,0,USA,United States of America,295.9097059365489,0,0,0,0,0,WRI,WRI1028011,Costa Sur,,,,,Gas,CEPR,http://energia.pr.gov/datos/plantas/,,0,"{""type"":""Point"",""coordinates"":[-66.75370147681129,18.001801190057932]}"
00000000000000003079,42,0,USA,United States of America,295.9097059365489,0,0,0,0,0,WRI,WRI1028013,Daguao,,,,,Gas,CEPR,http://energia.pr.gov/datos/plantas/,30937,0,"{""type"":""Point"",""coordinates"":[-65.6677007925477,18.232501701260055]}"
000000000000000031f7,507,0,USA,United States of America,3572.052878805483,0,0,0,0,0,WRI,WRI1026812,EcoEléctrica,,,,Gas Natural Fenosa  International Power,Gas,CEPR,http://energia.pr.gov/datos/plantas/,18991,0,"{""type"":""Point"",""coordinates"":[-66.75520419386629,17.981200143191007]}"
